Year,Month,Day,Profil,Région,Total_énergie_soutirée_(Wh),Nb_points_soutirage,Température_max,Température_min,Vent_km/h,Humidité_%,Visibilité_km,Couverture_nuageuse_%,Durée_jour_heure
2019,12,31,ENTREPRISE,hauts de france,1541761.25,556,6,3.0,8,70,10.0,11,8:6:0
2019,12,31,ENTREPRISE,hauts de france,1541761.25,556,6,2.0,9,70,10.0,9,8:10:0
2019,12,31,PARTICULIER,hauts de france,208971560.91666663,435516,6,3.0,8,70,10.0,11,8:6:0
2019,12,31,PARTICULIER,hauts de france,208971560.91666663,435516,6,2.0,9,70,10.0,9,8:10:0
2019,12,31,PROFESSIONNEL,hauts de france,45910778.8,61834,6,3.0,8,70,10.0,11,8:6:0
2019,12,31,PROFESSIONNEL,hauts de france,45910778.8,61834,6,2.0,9,70,10.0,9,8:10:0
2020,1,1,ENTREPRISE,hauts de france,1643076.84375,556,5,1.0,12,85,10.0,13,8:7:0
2020,1,1,ENTREPRISE,hauts de france,1643076.84375,556,5,0.0,10,83,10.0,15,8:11:0
2020,1,1,PARTICULIER,hauts de france,182138233.59375,435517,5,1.0,12,85,10.0,13,8:7:0
2020,1,1,PARTICULIER,hauts de france,182138233.59375,435517,5,0.0,10,83,10.0,15,8:11:0
2020,1,1,PROFESSIONNEL,hauts de france,41972121.46666667,61834,5,1.0,12,85,10.0,13,8:7:0
2020,1,1,PROFESSIONNEL,hauts de france,41972121.46666667,61834,5,0.0,10,83,10.0,15,8:11:0
2020,1,2,ENTREPRISE,hauts de france,1745944.3645833333,556,7,4.0,17,96,7.125,83,8:8:0
2020,1,2,ENTREPRISE,hauts de france,1745944.3645833333,556,8,4.0,15,97,5.0,78,8:12:0
2020,1,2,PARTICULIER,hauts de france,172380883.4861111,435552,7,4.0,17,96,7.125,83,8:8:0
2020,1,2,PARTICULIER,hauts de france,172380883.4861111,435552,8,4.0,15,97,5.0,78,8:12:0
2020,1,2,PROFESSIONNEL,hauts de france,48008627.65833333,61829,7,4.0,17,96,7.125,83,8:8:0
2020,1,2,PROFESSIONNEL,hauts de france,48008627.65833333,61829,8,4.0,15,97,5.0,78,8:12:0
2020,1,3,ENTREPRISE,hauts de france,1607397.0729166667,556,10,8.0,26,89,9.0,91,8:9:0
2020,1,3,ENTREPRISE,hauts de france,1607397.0729166667,556,10,9.0,25,89,10.0,87,8:13:0
2020,1,3,PARTICULIER,hauts de france,162979013.3888889,435561,10,8.0,26,89,9.0,91,8:9:0
2020,1,3,PARTICULIER,hauts de france,162979013.3888889,435561,10,9.0,25,89,10.0,87,8:13:0
2020,1,3,PROFESSIONNEL,hauts de france,47412521.80833333,61824,10,8.0,26,89,9.0,91,8:9:0
2020,1,3,PROFESSIONNEL,hauts de france,47412521.80833333,61824,10,9.0,25,89,10.0,87,8:13:0
2020,1,4,ENTREPRISE,hauts de france,1158301.4375,556,7,3.0,19,89,10.0,36,8:11:0
2020,1,4,ENTREPRISE,hauts de france,1158301.4375,556,8,3.0,18,91,10.0,45,8:15:0
2020,1,4,PARTICULIER,hauts de france,165875721.47569445,435535,7,3.0,19,89,10.0,36,8:11:0
2020,1,4,PARTICULIER,hauts de france,165875721.47569445,435535,8,3.0,18,91,10.0,45,8:15:0
2020,1,4,PROFESSIONNEL,hauts de france,44033412.60833333,61820,7,3.0,19,89,10.0,36,8:11:0
2020,1,4,PROFESSIONNEL,hauts de france,44033412.60833333,61820,8,3.0,18,91,10.0,45,8:15:0
2020,1,5,ENTREPRISE,hauts de france,1165267.9270833333,556,7,3.0,10,91,10.0,53,8:12:0
2020,1,5,ENTREPRISE,hauts de france,1165267.9270833333,556,8,5.0,7,88,10.0,71,8:16:0
2020,1,5,PARTICULIER,hauts de france,173598484.9652778,435528,7,3.0,10,91,10.0,53,8:12:0
2020,1,5,PARTICULIER,hauts de france,173598484.9652778,435528,8,5.0,7,88,10.0,71,8:16:0
